GameID,gameDate,HomeTeam,AwayTeam
June122024DalvsBos,8:30PM-June12-2024,Dallas Mavericks,Boston Celtics
GameID,Score,Quarter,QuarterTime,Team,Play
June122024DalvsBos,93-92,4,3:08.0,Boston Celtics,Offensive rebound by J. Brown
June122024DalvsBos,95-92,4,3:08.0,Boston Celtics,J. Brown makes 2-pt layup at rim
June122024DalvsBos,98-92,4,2:48.0,Boston Celtics,D. White makes 3-pt jump shot from 26 ft
June122024DalvsBos,98-93,4,2:32.0,Dallas Mavericks,K. Irving makes free throw 1 of 2
June122024DalvsBos,98-94,4,2:32.0,Dallas Mavericks,K. Irving makes free throw 2 of 2
June122024DalvsBos,100-94,4,2:17.0,Boston Celtics,J. Tatum makes 2-pt dunk from 2 ft
June122024DalvsBos,100-94,4,1:57.0,Boston Celtics,Defensive rebound by D. White
June122024DalvsBos,100-94,4,1:55.0,Dallas Mavericks,Offensive rebound by D. Lively
June122024DalvsBos,100-96,4,1:55.0,Dallas Mavericks,D. Lively makes 2-pt dunk at rim
June122024DalvsBos,100-96,4,1:30.0,Dallas Mavericks,Defensive rebound by T. Hardaway
June122024DalvsBos,100-98,4,1:20.0,Dallas Mavericks,D. Lively makes 2-pt dunk at rim
June122024DalvsBos,102-98,4,1:01.0,Boston Celtics,J. Brown makes 2-pt jump shot from 21 ft
June122024DalvsBos,102-98,4,0:46.0,Boston Celtics,Defensive rebound by A. Horford
June122024DalvsBos,102-98,4,0:22.0,Boston Celtics,Defensive rebound by Team
June122024DalvsBos,103-98,4,0:22.0,Boston Celtics,D. White makes free throw 1 of 2
June122024DalvsBos,104-98,4,0:22.0,Boston Celtics,D. White makes free throw 2 of 2
June122024DalvsBos,104-98,4,0:16.0,Boston Celtics,Defensive rebound by J. Brown
June122024DalvsBos,105-98,4,0:14.0,Boston Celtics,J. Tatum makes free throw 1 of 2
June122024DalvsBos,106-98,4,0:14.0,Boston Celtics,J. Tatum makes free throw 2 of 2
June122024DalvsBos,106-98,4,0:10.0,Dallas Mavericks,Offensive rebound by Team
June122024DalvsBos,106-99,4,0:10.0,Dallas Mavericks,P. Washington makes free throw 2 of 2
